 time            vgs_fr          time            vds_fr         
 0.00000000e+00  7.07000000e-01  0.00000000e+00  6.80688146e-01 
 1.00000000e-10  7.07006283e-01  1.00000000e-10  6.80687792e-01 
 2.00000000e-10  7.07012566e-01  2.00000000e-10  6.80687045e-01 
 4.00000000e-10  7.07025133e-01  4.00000000e-10  6.80684773e-01 
 8.00000000e-10  7.07050265e-01  8.00000000e-10  6.80675615e-01 
 1.60000000e-09  7.07100529e-01  1.60000000e-09  6.80639488e-01 
 3.20000000e-09  7.07201048e-01  3.20000000e-09  6.80500776e-01 
 6.40000000e-09  7.07402015e-01  6.40000000e-09  6.79991456e-01 
 1.28000000e-08  7.07803381e-01  1.28000000e-08  6.78260752e-01 
 2.28000000e-08  7.08427671e-01  2.28000000e-08  6.74320194e-01 
 3.28000000e-08  7.09046327e-01  3.28000000e-08  6.69537186e-01 
 4.28000000e-08  7.09656907e-01  4.28000000e-08  6.64384199e-01 
 5.28000000e-08  7.10257002e-01  5.28000000e-08  6.59097471e-01 
 6.28000000e-08  7.10844242e-01  6.28000000e-08  6.53800725e-01 
 7.28000000e-08  7.11416311e-01  7.28000000e-08  6.48563987e-01 
 8.28000000e-08  7.11970951e-01  8.28000000e-08  6.43431507e-01 
 9.28000000e-08  7.12505973e-01  9.28000000e-08  6.38434995e-01 
 1.02800000e-07  7.13019265e-01  1.02800000e-07  6.33599862e-01 
 1.12800000e-07  7.13508802e-01  1.12800000e-07  6.28948126e-01 
 1.22800000e-07  7.13972652e-01  1.22800000e-07  6.24499753e-01 
 1.32800000e-07  7.14408984e-01  1.32800000e-07  6.20273250e-01 
 1.42800000e-07  7.14816076e-01  1.42800000e-07  6.16285900e-01 
 1.52800000e-07  7.15192321e-01  1.52800000e-07  6.12553847e-01 
 1.62800000e-07  7.15536235e-01  1.62800000e-07  6.09092098e-01 
 1.72800000e-07  7.15846461e-01  1.72800000e-07  6.05914498e-01 
 1.82800000e-07  7.16121773e-01  1.82800000e-07  6.03033694e-01 
 1.92800000e-07  7.16361087e-01  1.92800000e-07  6.00461096e-01 
 2.02800000e-07  7.16563456e-01  2.02800000e-07  5.98206840e-01 
 2.12800000e-07  7.16728082e-01  2.12800000e-07  5.96279759e-01 
 2.22800000e-07  7.16854317e-01  2.22800000e-07  5.94687355e-01 
 2.32800000e-07  7.16941660e-01  2.32800000e-07  5.93435777e-01 
 2.42800000e-07  7.16989769e-01  2.42800000e-07  5.92529808e-01 
 2.52800000e-07  7.16998452e-01  2.52800000e-07  5.91972853e-01 
 2.62800000e-07  7.16967677e-01  2.62800000e-07  5.91766933e-01 
 2.72800000e-07  7.16897563e-01  2.72800000e-07  5.91912683e-01 
 2.82800000e-07  7.16788388e-01  2.82800000e-07  5.92409355e-01 
 2.92800000e-07  7.16640583e-01  2.92800000e-07  5.93254822e-01 
 3.02800000e-07  7.16454731e-01  3.02800000e-07  5.94445594e-01 
 3.12800000e-07  7.16231566e-01  3.12800000e-07  5.95976823e-01 
 3.22800000e-07  7.15971967e-01  3.22800000e-07  5.97842330e-01 
 3.32800000e-07  7.15676961e-01  3.32800000e-07  6.00034622e-01 
 3.42800000e-07  7.15347710e-01  3.42800000e-07  6.02544915e-01 
 3.52800000e-07  7.14985515e-01  3.52800000e-07  6.05363173e-01 
 3.62800000e-07  7.14591804e-01  3.62800000e-07  6.08478135e-01 
 3.72800000e-07  7.14168133e-01  3.72800000e-07  6.11877357e-01 
 3.82800000e-07  7.13716171e-01  3.82800000e-07  6.15547260e-01 
 3.92800000e-07  7.13237705e-01  3.92800000e-07  6.19473176e-01 
 4.02800000e-07  7.12734621e-01  4.02800000e-07  6.23639408e-01 
 4.12800000e-07  7.12208904e-01  4.12800000e-07  6.28029284e-01 
 4.22800000e-07  7.11662631e-01  4.22800000e-07  6.32625231e-01 
 4.32800000e-07  7.11097957e-01  4.32800000e-07  6.37408842e-01 
 4.42800000e-07  7.10517109e-01  4.42800000e-07  6.42360950e-01 
 4.52800000e-07  7.09922382e-01  4.52800000e-07  6.47461715e-01 
 4.62800000e-07  7.09316121e-01  4.62800000e-07  6.52690701e-01 
 4.72800000e-07  7.08700719e-01  4.72800000e-07  6.58026969e-01 
 4.82800000e-07  7.08078605e-01  4.82800000e-07  6.63449168e-01 
 4.92800000e-07  7.07452235e-01  4.92800000e-07  6.68935624e-01 
 5.02800000e-07  7.06824080e-01  5.02800000e-07  6.74464439e-01 
 5.12800000e-07  7.06196619e-01  5.12800000e-07  6.80013581e-01 
 5.22800000e-07  7.05572329e-01  5.22800000e-07  6.85560988e-01 
 5.32800000e-07  7.04953673e-01  5.32800000e-07  6.91084652e-01 
 5.42800000e-07  7.04343093e-01  5.42800000e-07  6.96562722e-01 
 5.52800000e-07  7.03742998e-01  5.52800000e-07  7.01973591e-01 
 5.62800000e-07  7.03155758e-01  5.62800000e-07  7.07295984e-01 
 5.72800000e-07  7.02583689e-01  5.72800000e-07  7.12509050e-01 
 5.82800000e-07  7.02029049e-01  5.82800000e-07  7.17592437e-01 
 5.92800000e-07  7.01494027e-01  5.92800000e-07  7.22526377e-01 
 6.02800000e-07  7.00980735e-01  6.02800000e-07  7.27291756e-01 
 6.12800000e-07  7.00491198e-01  6.12800000e-07  7.31870188e-01 
 6.22800000e-07  7.00027348e-01  6.22800000e-07  7.36244077e-01 
 6.32800000e-07  6.99591016e-01  6.32800000e-07  7.40396681e-01 
 6.42800000e-07  6.99183924e-01  6.42800000e-07  7.44312165e-01 
 6.52800000e-07  6.98807679e-01  6.52800000e-07  7.47975655e-01 
 6.62800000e-07  6.98463765e-01  6.62800000e-07  7.51373281e-01 
 6.72800000e-07  6.98153539e-01  6.72800000e-07  7.54492223e-01 
 6.82800000e-07  6.97878227e-01  6.82800000e-07  7.57320747e-01 
 6.92800000e-07  6.97638913e-01  6.92800000e-07  7.59848236e-01 
 7.02800000e-07  6.97436544e-01  7.02800000e-07  7.62065223e-01 
 7.12800000e-07  6.97271918e-01  7.12800000e-07  7.63963413e-01 
 7.22800000e-07  6.97145683e-01  7.22800000e-07  7.65535709e-01 
 7.32800000e-07  6.97058340e-01  7.32800000e-07  7.66776224e-01 
 7.42800000e-07  6.97010231e-01  7.42800000e-07  7.67680303e-01 
 7.52800000e-07  6.97001548e-01  7.52800000e-07  7.68244530e-01 
 7.62800000e-07  6.97032323e-01  7.62800000e-07  7.68466738e-01 
 7.72800000e-07  6.97102437e-01  7.72800000e-07  7.68346018e-01 
 7.82800000e-07  6.97211612e-01  7.82800000e-07  7.67882716e-01 
 7.92800000e-07  6.97359417e-01  7.92800000e-07  7.67078441e-01 
 8.02800000e-07  6.97545269e-01  8.02800000e-07  7.65936055e-01 
 8.12800000e-07  6.97768434e-01  8.12800000e-07  7.64459673e-01 
 8.22800000e-07  6.98028033e-01  8.22800000e-07  7.62654653e-01 
 8.32800000e-07  6.98323039e-01  8.32800000e-07  7.60527584e-01 
 8.42800000e-07  6.98652290e-01  8.42800000e-07  7.58086272e-01 
 8.52800000e-07  6.99014485e-01  8.52800000e-07  7.55339719e-01 
 8.62800000e-07  6.99408196e-01  8.62800000e-07  7.52298105e-01 
 8.72800000e-07  6.99831867e-01  8.72800000e-07  7.48972761e-01 
 8.82800000e-07  7.00283829e-01  8.82800000e-07  7.45376135e-01 
 8.92800000e-07  7.00762295e-01  8.92800000e-07  7.41521764e-01 
 9.02800000e-07  7.01265379e-01  9.02800000e-07  7.37424230e-01 
 9.12800000e-07  7.01791096e-01  9.12800000e-07  7.33099116e-01 
 9.22800000e-07  7.02337369e-01  9.22800000e-07  7.28562962e-01 
 9.32800000e-07  7.02902043e-01  9.32800000e-07  7.23833204e-01 
 9.42800000e-07  7.03482891e-01  9.42800000e-07  7.18928123e-01 
 9.52800000e-07  7.04077618e-01  9.52800000e-07  7.13866772e-01 
 9.62800000e-07  7.04683879e-01  9.62800000e-07  7.08668916e-01 
 9.72800000e-07  7.05299281e-01  9.72800000e-07  7.03354950e-01 
 9.82800000e-07  7.05921395e-01  9.82800000e-07  6.97945824e-01 
 9.92800000e-07  7.06547765e-01  9.92800000e-07  6.92462957e-01 
 1.00280000e-06  7.07175920e-01  1.00280000e-06  6.86928155e-01 
 1.01280000e-06  7.07803381e-01  1.01280000e-06  6.81363510e-01 
 1.02280000e-06  7.08427671e-01  1.02280000e-06  6.75791315e-01 
 1.03280000e-06  7.09046327e-01  1.03280000e-06  6.70233959e-01 
 1.04280000e-06  7.09656907e-01  1.04280000e-06  6.64713834e-01 
 1.05280000e-06  7.10257002e-01  1.05280000e-06  6.59253231e-01 
 1.06280000e-06  7.10844242e-01  1.06280000e-06  6.53874237e-01 
 1.07280000e-06  7.11416311e-01  1.07280000e-06  6.48598639e-01 
 1.08280000e-06  7.11970951e-01  1.08280000e-06  6.43447821e-01 
 1.09280000e-06  7.12505973e-01  1.09280000e-06  6.38442667e-01 
 1.10280000e-06  7.13019265e-01  1.10280000e-06  6.33603465e-01 
 1.11280000e-06  7.13508802e-01  1.11280000e-06  6.28949816e-01 
 1.12280000e-06  7.13972652e-01  1.12280000e-06  6.24500546e-01 
