 time            vgs_fr          time            vds_fr         
 0.00000000e+00  7.07000000e-01  0.00000000e+00  7.96177923e-01 
 1.00000000e-10  7.07006283e-01  1.00000000e-10  7.96177598e-01 
 2.00000000e-10  7.07012566e-01  2.00000000e-10  7.96176910e-01 
 4.00000000e-10  7.07025133e-01  4.00000000e-10  7.96174815e-01 
 8.00000000e-10  7.07050265e-01  8.00000000e-10  7.96166358e-01 
 1.60000000e-09  7.07100529e-01  1.60000000e-09  7.96132947e-01 
 3.20000000e-09  7.07201048e-01  3.20000000e-09  7.96004419e-01 
 6.40000000e-09  7.07402015e-01  6.40000000e-09  7.95530992e-01 
 1.28000000e-08  7.07803381e-01  1.28000000e-08  7.93913532e-01 
 2.28000000e-08  7.08427671e-01  2.28000000e-08  7.90203928e-01 
 3.28000000e-08  7.09046327e-01  3.28000000e-08  7.85669451e-01 
 4.28000000e-08  7.09656907e-01  4.28000000e-08  7.80756876e-01 
 5.28000000e-08  7.10257002e-01  5.28000000e-08  7.75695763e-01 
 6.28000000e-08  7.10844242e-01  6.28000000e-08  7.70609228e-01 
 7.28000000e-08  7.11416311e-01  7.28000000e-08  7.65568142e-01 
 8.28000000e-08  7.11970951e-01  8.28000000e-08  7.60617622e-01 
 9.28000000e-08  7.12505973e-01  9.28000000e-08  7.55789941e-01 
 1.02800000e-07  7.13019265e-01  1.02800000e-07  7.51110807e-01 
 1.12800000e-07  7.13508802e-01  1.12800000e-07  7.46602381e-01 
 1.22800000e-07  7.13972652e-01  1.22800000e-07  7.42284707e-01 
 1.32800000e-07  7.14408984e-01  1.32800000e-07  7.38176365e-01 
 1.42800000e-07  7.14816076e-01  1.42800000e-07  7.34294755e-01 
 1.52800000e-07  7.15192321e-01  1.52800000e-07  7.30656189e-01 
 1.62800000e-07  7.15536235e-01  1.62800000e-07  7.27275903e-01 
 1.72800000e-07  7.15846461e-01  1.72800000e-07  7.24168027e-01 
 1.82800000e-07  7.16121773e-01  1.82800000e-07  7.21345543e-01 
 1.92800000e-07  7.16361087e-01  1.92800000e-07  7.18820231e-01 
 2.02800000e-07  7.16563456e-01  2.02800000e-07  7.16602627e-01 
 2.12800000e-07  7.16728082e-01  2.12800000e-07  7.14701969e-01 
 2.22800000e-07  7.16854317e-01  2.22800000e-07  7.13126165e-01 
 2.32800000e-07  7.16941660e-01  2.32800000e-07  7.11881753e-01 
 2.42800000e-07  7.16989769e-01  2.42800000e-07  7.10973878e-01 
 2.52800000e-07  7.16998452e-01  2.52800000e-07  7.10406269e-01 
 2.62800000e-07  7.16967677e-01  2.62800000e-07  7.10181221e-01 
 2.72800000e-07  7.16897563e-01  2.72800000e-07  7.10299592e-01 
 2.82800000e-07  7.16788388e-01  2.82800000e-07  7.10760798e-01 
 2.92800000e-07  7.16640583e-01  2.92800000e-07  7.11562816e-01 
 3.02800000e-07  7.16454731e-01  3.02800000e-07  7.12702199e-01 
 3.12800000e-07  7.16231566e-01  3.12800000e-07  7.14174090e-01 
 3.22800000e-07  7.15971967e-01  3.22800000e-07  7.15972245e-01 
 3.32800000e-07  7.15676961e-01  3.32800000e-07  7.18089066e-01 
 3.42800000e-07  7.15347710e-01  3.42800000e-07  7.20515632e-01 
 3.52800000e-07  7.14985515e-01  3.52800000e-07  7.23241743e-01 
 3.62800000e-07  7.14591804e-01  3.62800000e-07  7.26255964e-01 
 3.72800000e-07  7.14168133e-01  3.72800000e-07  7.29545684e-01 
 3.82800000e-07  7.13716171e-01  3.82800000e-07  7.33097166e-01 
 3.92800000e-07  7.13237705e-01  3.92800000e-07  7.36895618e-01 
 4.02800000e-07  7.12734621e-01  4.02800000e-07  7.40925254e-01 
 4.12800000e-07  7.12208904e-01  4.12800000e-07  7.45169372e-01 
 4.22800000e-07  7.11662631e-01  4.22800000e-07  7.49610428e-01 
 4.32800000e-07  7.11097957e-01  4.32800000e-07  7.54230118e-01 
